"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","IMA Mineral Symbol"
"Alcaparrosaite","Alcaparrosaite","K3Ti4+Fe3+(SO4)4O(H2O)2","Apr"
"Aldermanite","Aldermanite","[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O","Adm"
"Aldomarinoite","Aldomarinoite","Sr2Mn3+(AsO4)2(OH)","Aldm"
"Aldridgeite","Aldridgeite","(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O","Adg"
"Aleksandrovite","Aleksandrovite","KCa7Sn2Li3Si12O36F2","Asd"
"Aleksite","Aleksite","PbBi2Te2S2","Alk"
"Aleutite","Aleutite","[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl","Aeu"
"Alexkhomyakovite","Alexkhomyakovite","K6(Ca2Na)(CO3)5Cl·6H2O","Akmy"
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","Ce2Mn(CO3)(Si2O7)","Axk-Ce"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","La2Mn(CO3)(Si2O7)","Axk-La"
"Alflarsenite","Alflarsenite","NaCa2Be3Si4O13(OH)·2H2O","Alf"
"Alforsite","Alforsite","Ba5(PO4)3Cl","Afr"
"Alfredopetrovite","Alfredopetrovite","Al2(Se4+O3)3·6H2O","Afd"
"Alfredstelznerite","Alfredstelznerite","Ca4(H2O)4[B4O4(OH)6]4(H2O)15","Asz"
"Algodonite","Algodonite","Cu1-xAsx (x ≈ 0.15)","Ago"
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","Na2Sr2YCe(CO3)6·3H2O","Aws-YCe"
"Alicewilsonite-(YLa)","Alicewilsonite-(YLa)","Na2Sr2YLa(CO3)6·3H2O","Aws-YLa"
"Aliettite","Aliettite","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","Ali"
"Allabogdanite","Allabogdanite","(Fe,Ni)2P","Abg"
"Allactite","Allactite","Mn2+7(AsO4)2(OH)8","Ala"
"Allanite-(Ce)","Allanite-(Ce)","CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH)","Aln-Ce"
"Allanite-(La)","Allanite-(La)","CaLa(Al2Fe2+)[Si2O7][SiO4]O(OH)","Aln-La"
"Allanite-(Nd)","Allanite-(Nd)","CaNd(Al2Fe2+)[Si2O7][SiO4]O(OH)","Aln-Nd"
"Allanite-(Y)","Allanite-(Y)","CaY(Al2Fe2+)[Si2O7][SiO4]O(OH)","Aln-Y"
"Allanpringite","Allanpringite","Fe3+3(PO4)2(OH)3·5H2O","Apg"
"Allantoin","Allantoin","C4H6N4O3","Aan"
"Allargentum","Allargentum","Ag1-xSbx (x ≈ 0.09-0.16)","All"
"Alleghanyite","Alleghanyite","Mn2+5(SiO4)2(OH)2","Alh"
"Allendeite","Allendeite","Sc4Zr3O12","Aed"
"Allochalcoselite","Allochalcoselite","Cu1+Cu2+5PbO2(SeO3)2Cl5","Acc"
"Alloclasite","Alloclasite","CoAsS","Acl"
"Allophane","Allophane","Al2O3(SiO2)1.3-2.0·2.5-3.0H2O","Alp"
"Alloriite","Alloriite","(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(SO4)4(SO3,CO3)2(OH,Cl)2(H2O,OH)4","Aor"
"Alluaivite","Alluaivite","Na19(Ca,Mn2+)6(Ti,Nb)3Si26O74Cl·2H2O","Aav"
"Alluaudite","Alluaudite","[box]NaMnFe3+2(PO4)3","Ald"
"Almandine","Almandine","Fe2+3Al2(SiO4)3","Alm"
"Almarudite","Almarudite","K([box],Na)2(Mn,Fe,Mg)2[(Be,Al)3Si12]O30","Alr"
"Almeidaite","Almeidaite","PbZn2(Mn,Y)(Ti,Fe3+)18O36(OH,O)2","Amd"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","(CaCe2.5Na0.5)(Al4)(Si2O7)(SiO4)3O(OH)2","Apbø-Ce"
"Alpeite","Alpeite","Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(VO4)(OH)6","Apt"
"Alpersite","Alpersite","Mg(SO4)·7H2O","Aps"
"Alsakharovite-Zn","Alsakharovite-Zn","NaSrKZn(Ti,Nb)4(Si4O12)2(O,OH)4·7H2O","Ask-Zn"
"Alstonite","Alstonite","BaCa(CO3)2","Asn"
"Altaite","Altaite","PbTe","Alt"
"Alterite","Alterite","Zn2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O","Atr"
"Althausite","Althausite","Mg4(PO4)2(OH,O)(F,[box])","Ahs"
"Althupite","Althupite","AlTh(UO2)7(PO4)4O2(OH)5·15H2O","Ahp"
"Altisite","Altisite","Na3K6Ti2Al2Si8O26Cl3","Ati"
"Aluminite","Aluminite","Al2(SO4)(OH)4·7H2O","A"
"Aluminium","Aluminium","Al","Al"
"Aluminoceladonite","Aluminoceladonite","K(Mg,Fe2+)Al(Si4O10)(OH)2","Acel"
"Aluminocerite-(Ce)","Aluminocerite-(Ce)","(Ce,REE,Ca)9(Al,Fe3+)(SiO4)3[SiO3(OH)]4(OH)3","Acrt-Ce"
"Aluminocopiapite","Aluminocopiapite","(Al,Mg)Fe3+4(SO4)6(OH,O)2·20H2O","Acpi"
"Aluminocoquimbite","Aluminocoquimbite","Al2Fe2(SO4)6(H2O)12·9H2O","Acoq"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","Mg2AlO2(BO3)","Amhul"
"Alumino-oxy-rossmanite","Alumino-oxy-rossmanite","Al3Al6(Si5AlO18)(BO3)3(OH)3O","Aorsm"
"Aluminopyracmonite","Aluminopyracmonite","(NH4)3Al(SO4)3","Apyr"
"Aluminosugilite","Aluminosugilite","KNa2Al2Li3Si12O30","Asug"
"Alum-(K)","Alum-(K)","KAl(SO4)2·12H2O","Aum-K"
"Alum-(Na)","Alum-(Na)","NaAl(SO4)2·12H2O","Aum-Na"
"Alumoåkermanite","Alumoakermanite","(Ca,Na)2(Al,Mg,Fe2+)(Si2O7)","Aåk"
"Alumoedtollite","Alumoedtollite","K2NaCu5AlO2(AsO4)4","Aedt"
"Alumohydrocalcite","Alumohydrocalcite","CaAl2(CO3)2(OH)4·4H2O","Ahcal"
"Alumoklyuchevskite","Alumoklyuchevskite","K3Cu2+3AlO2(SO4)4","Akyv"
"Alumotantite","Alumotantite","AlTaO4","Atan"
"Alumovesuvianite","Alumovesuvianite","Ca19Al(Al10Mg2)Si18O69(OH)9","Aves"
"Alunite","Alunite","KAl3(SO4)2(OH)6","Alu"
"Alunogen","Alunogen","Al2(SO4)3(H2O)12·5H2O","Alg"
"Alvanite","Alvanite","Zn2+Al4(V5+O3)2(OH)12·2H2O","Alv"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O","Alw-Y"
"Amakinite","Amakinite","Fe(OH)2","Amk"
"Amamoorite","Amamoorite","CaMn2+2Mn3+(Si2O7)O(OH)","Amo"
"Amarantite","Amarantite","Fe3+2O(SO4)2·7H2O","Ama"
"Amarillite","Amarillite","NaFe3+(SO4)2·6H2O","Amr"
"Amblygonite","Amblygonite","LiAl(PO4)F","Aby"
"Ambrinoite","Ambrinoite","[K,(NH4)]2(As,Sb)6(Sb,As)2S13·H2O","Amb"
"Ameghinite","Ameghinite","NaB3O3(OH)4","Agh"
"Amesite","Amesite","Mg2Al(AlSiO5)(OH)4","Ame"
"Amicite","Amicite","K2Na2(Al4Si4O16)·5H2O","Ami"
"Aminoffite","Aminoffite","Ca3(BeOH)2Si3O10","Amf"
"Ammineite","Ammineite","CuCl2·2NH3","Amm"
"Ammonioalunite","Ammonioalunite","(NH4)Al3(SO4)2(OH)6","Aalu"
"Ammonioborite","Ammonioborite","(NH4)3B15O20(OH)8·4H2O","Abo"
"Ammoniojarosite","Ammoniojarosite","(NH4)Fe3+3(SO4)2(OH)6","Ajrs"
"Ammoniolasalite","Ammoniolasalite","[(NH4)2Mg2(H2O)20]·[V10O28]","Alas"
"Ammonioleucite","Ammonioleucite","(NH4)(AlSi2O6)","Alct"
"Ammoniomagnesiovoltaite","Ammoniomagnesiovoltaite","(NH4)2Mg5Fe3+3Al(SO4)12·18H2O","Amvlt"
"Ammoniomathesiusite","Ammoniomathesiusite","(NH4)5(UO2)4(SO4)4(VO5)·4H2O","Amat"
"Ammoniotinsleyite","Ammoniotinsleyite","(NH4)Al2(PO4)2(OH)·2H2O","Atin"
"Ammoniovoltaite","Ammoniovoltaite","(NH4)2Fe2+5Fe3+3Al(SO4)12(H2O)18","Avlt"
"Ammoniozippeite","Ammoniozippeite","(NH4)2[(UO2)2(SO4)O2]·H2O","Azip"
"Amstallite","Amstallite","CaAl[(Al,Si)4O8(OH)2](OH)2·(H2O,Cl)","Ams"
"Analcime","Analcime","Na(AlSi2O6)·H2O","Anl"
"Anandite","Anandite","BaFe2+3(Si3Fe3+)O10S(OH)","Ana"
"Anapaite","Anapaite","Ca2Fe2+(PO4)2·4H2O","Anp"
"Anastasenkoite","Anastasenkoite","CaFe2+P2O7","Aas"
"Anatase","Anatase","TiO2","Ant"
"Anatolyite","Anatolyite","Na6(Ca,Na)(Mg,Fe3+)3Al(AsO4)6","Aly"
"Ancylite-(Ce)","Ancylite-(Ce)","CeSr(CO3)2(OH)·H2O","Anc-Ce"
"Ancylite-(La)","Ancylite-(La)","LaSr(CO3)2(OH)·H2O","Anc-La"
"Andalusite","Andalusite","Al2SiO5","And"
"Andersonite","Andersonite","Na2Ca(UO2)(CO3)3·5-6H2O","Anr"
"Andorite IV","Andorite IV","AgPbSb3S6","Ado IV"
"Andorite VI","Andorite VI","AgPbSb3S6","Ado VI"
"Andradite","Andradite","Ca3Fe3+2(SiO4)3","Adr"
"Andreadiniite","Andreadiniite","CuHgAg7Pb7Sb24S48","Adi"
"Andrémeyerite","Andremeyerite","BaFe2+2(Si2O7)","Amy"
"Andreyivanovite","Andreyivanovite","FeCrP","Aiv"
"Andrianovite","Andrianovite","Na12(K,Sr,Ce)3Ca6Mn3Zr3Nb(Si25O73)(O,H2O,OH)5","Adv"
"Anduoite","Anduoite","RuAs2","Adu"
"Andychristyite","Andychristyite","PbCu2+Te6+O5(H2O)","Acs"
"Andymcdonaldite","Andymcdonaldite","Fe2TeO6","Amc"
"Andyrobertsite","Andyrobertsite","KCdCu5(AsO4)4[As(OH)2O2]·2H2O","Arb"
"Angarfite","Angarfite","NaFe3+5(PO4)4(OH)4·4H2O","Agf"
"Angastonite","Angastonite","CaMgAl2(PO4)2(OH)4·7H2O","Ags"
"Ángelaite","Angelaite","Cu2AgPbBiS4","Áge"
"Angelellite","Angelellite","Fe3+4O3(AsO4)2","Agl"
"Anglesite","Anglesite","Pb(SO4)","Ang"
"Anhydrite","Anhydrite","Ca(SO4)","Anh"
"Anhydrokainite","Anhydrokainite","KMg(SO4)Cl","Ahk"
"Anilite","Anilite","Cu7S4","Ani"
"Ankerite","Ankerite","Ca(Fe2+,Mg)(CO3)2","Ank"
"Ankinovichite","Ankinovichite","NiAl4(V5+O3)2(OH)12·2H2O","Akv"
"Annabergite","Annabergite","Ni3(AsO4)2·8H2O","Anb"
"Annite","Annite","KFe2+3(AlSi3O10)(OH)2","Ann"
"Anorpiment","Anorpiment","As2S3","Apm"
"Anorthite","Anorthite","Ca(Al2Si2O8)","An"
"Anorthominasragrite","Anorthominasragrite","V4+O(SO4)·5H2O","Amrg"
"Ansermetite","Ansermetite","Mn2+V5+2O6·4H2O","Anm"
"Antarcticite","Antarcticite","CaCl2·6H2O","Atc"
"Anthoinite","Anthoinite","AlWO3(OH)3","Atn"
"Anthonyite","Anthonyite","Cu(OH)2·3H2O","Aty"
"Anthophyllite","Anthophyllite","[box]Mg2Mg5Si8O22(OH)2","Ath"
"Antigorite","Antigorite","Mg3Si2O5(OH)4","Atg"
"Antimonselite","Antimonselite","Sb2Se3","Atm"
"Antimony","Antimony","Sb","Sb"
"Antipinite","Antipinite","KNa3Cu2(C2O4)4","Atp"
"Antlerite","Antlerite","Cu2+3(SO4)(OH)4","Atl"
"Antofagastaite","Antofagastaite","Na2Ca(SO4)2·1.5H2O","Atf"
"Anyuiite","Anyuiite","AuPb2","Any"
"Anzaite-(Ce)","Anzaite-(Ce)","Ce4Fe2+Ti6O18(OH)2","Anz-Ce"
"Apachite","Apachite","Cu2+9Si10O29·11H2O","Apa"
"Apexite","Apexite","NaMg(PO4)·9H2O","Ape"
"Aphthitalite","Aphthitalite","K3Na(SO4)2","Att"
"Apjohnite","Apjohnite","Mn2+Al2(SO4)4·22H2O","Apj"
"Aplowite","Aplowite","Co(SO4)·4H2O","Apw"
"Apuanite","Apuanite","(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S","Apu"
"Aqualite","Aqualite","(H3O)8(Na,K,Sr)5Ca6Zr3Si26O66(OH)9Cl","Aq"
"Aradite","Aradite","BaCa6[(SiO4)(VO4)](VO4)2F","Ara"
"Aragonite","Aragonite","Ca(CO3)","Arg"
"Arakiite","Arakiite","ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23","Ark"
"Aramayoite","Aramayoite","Ag3Sb2(Bi,Sb)S6","Ary"
"Arangasite","Arangasite","Al2(SO4)(PO4)F·9H2O","Ans"
"Arapovite","Arapovite","(K1-x[box]x)(Ca,Na)2U4+Si8O20 [x ≈ 0.5]","Apv"
"Aravaipaite","Aravaipaite","Pb3AlF9·H2O","Avp"
"Aravaite","Aravaite","Ba2Ca18(SiO4)6(PO4)3(CO3)F3O","Arv"
"Arcanite","Arcanite","K2(SO4)","Acn"
"Archerite","Archerite","H2K(PO4)","Aht"
"Arctite","Arctite","(Na5Ca)Ca6Ba(PO4)6F3","Arc"
"Arcubisite","Arcubisite","Ag6CuBiS4","Acb"
"Ardaite","Ardaite","Pb17Sb15S35Cl9","Ada"
"Ardealite","Ardealite","Ca2(PO3OH)(SO4)·4H2O","Adl"
"Ardennite-(As)","Ardennite-(As)","Mn2+4Al4(AlMg)(AsO4)(SiO4)2(Si3O10)(OH)6","Ard-As"
"Ardennite-(V)","Ardennite-(V)","Mn2+4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6","Ard-V"
"Arfvedsonite","Arfvedsonite","NaNa2(Fe2+4Fe3+)Si8O22(OH)2","Arf"
"Argandite","Argandite","Mn7(VO4)2(OH)8","Agd"
"Argentobaumhauerite","Argentobaumhauerite","Ag1.5Pb22As33.5S72","Abha"
"Argentodufrénoysite","Argentodufrenoysite","Ag3Pb26As35S80","Aduf"
"Argentojarosite","Argentojarosite","AgFe3+3(SO4)2(OH)6","Agjrs"
"Argentoliveingite","Argentoliveingite","AgxPb40-2xAs48+xS112 (3 < x < 4)","Aliv"
"Argentopearceite","Argentopearceite","Ag16As2S11","Apea"
"Argentopentlandite","Argentopentlandite","Ag(Fe,Ni)8S8","Apn"
"Argentopyrite","Argentopyrite","AgFe2S3","Agpy"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","Ag6(Cu4Zn2)As4S13","Atnt-Zn"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","Ag6(Cu4Fe2)Sb4S13","Attr-Fe"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","Ag6(Cu4Hg2)Sb4S13","Attr-Hg"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","Ag6(Cu4Zn2)Sb4S13","Attr-Zn"
"Argesite","Argesite","(NH4)7Bi3Cl16","Age"
"Argutite","Argutite","GeO2","Agt"
"Argyrodite","Argyrodite","Ag8GeS6","Agy"
"Arhbarite","Arhbarite","Cu2Mg(AsO4)(OH)3","Arh"
"Ariegilatite","Ariegilatite","BaCa12(SiO4)4(PO4)2F2O","Agi"
"Arisite-(Ce)","Arisite-(Ce)","NaCe2(CO3)2[F2x(CO3)1-x]F","Ari-Ce"
"Arisite-(La)","Arisite-(La)","NaLa2(CO3)2[F2x(CO3)1-x]F","Ari-La"
"Aristarainite","Aristarainite","Na2Mg[B6O8(OH)4]2·4H2O","Ais"
"Armalcolite","Armalcolite","(Mg,Fe2+)Ti2O5","Arm"
"Armangite","Armangite","Mn2+26[As3+6(OH)4O14][As3+6O18]2(CO3)","Amg"
"Armbrusterite","Armbrusterite","Na6K5Mn3+Mn2+14(Si9O22)4(OH)10·4H2O","Abr"
"Armellinoite-(Ce)","Armellinoite-(Ce)","Ca4Ce4+(AsO4)4·H2O","Aml-Ce"
"Armenite","Armenite","BaCa2(Al6Si9)O30·2H2O","Amn"
"Armstrongite","Armstrongite","CaZr(Si6O15)·2H2O","Asg"
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","CaMg[(Ce7Y3)Ca5](SiO4)3(Si3B3O18)(AsO4)(BO3)F11","Arr-Ce"
"Arrojadite-(BaFe)","Arrojadite-(BaFe)","BaFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ajd-BaFe"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ajd-BaNa"
"Arrojadite-(KFe)","Arrojadite-(KFe)","(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ajd-KFe"
"Arrojadite-(KNa)","Arrojadite-(KNa)","KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ajd-KNa"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","PbFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ajd-PbFe"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2","Ajd-SrFe"
"Arsenatrotitanite","Arsenatrotitanite","NaTi(AsO4)O","Anttn"
"Arsenbrackebuschite","Arsenbrackebuschite","Pb2(Fe3+,Zn)(AsO4)2(OH,H2O)","Abbs"
"Arsendescloizite","Arsendescloizite","PbZn(AsO4)(OH)","Adcz"
"Arsenic","Arsenic","As","As"
"Arseniopleite","Arseniopleite","NaCaMnMn2(AsO4)3","Apl"
"Arseniosiderite","Arseniosiderite","Ca2Fe3+3O2(AsO4)3·3H2O","Assd"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Pb12(As3.2Sb2.8)Σ6S21","Amcb"
"Arsenmedaite","Arsenmedaite","Mn2+6As5+Si5O18(OH)","Amed"
"Arsenoclasite","Arsenoclasite","Mn2+5(AsO4)2(OH)4","Asc"
"Arsenocrandallite","Arsenocrandallite","CaAl3(AsO4)(AsO3OH)(OH)6","Acdl"
