"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","IMA Mineral Symbol"
"Cualstibite","Cualstibite","Cu2Al(OH)6[Sb(OH)6]","Casb"
"Cuatrocapaite-(K)","Cuatrocapaite-(K)","K3(NaMg[box])(As2O3)6Cl6·16H2O","Ctc-K"
"Cuatrocapaite-(NH<sub>4</sub>)","Cuatrocapaite-(NH4)","(NH4)3(NaMg[box])(As2O3)6Cl6·16H2O","Ctc-NH4"
"Cubanite","Cubanite","CuFe2S3","Cbn"
"Cuboargyrite","Cuboargyrite","AgSbS2","Cbag"
"Cumengeite","Cumengeite","Pb21Cu20Cl42(OH)40·6H2O","Cge"
"Cummingtonite","Cummingtonite","[box]Mg2Mg5Si8O22(OH)2","Cum"
"Cupalite","Cupalite","CuAl","Cup"
"Cuprite","Cuprite","Cu2O","Cpr"
"Cuproauride","Cuproauride","Cu3Au","Cua"
"Cuprobismutite","Cuprobismutite","Cu8AgBi13S24","Cbit"
"Cuprocopiapite","Cuprocopiapite","Cu2+Fe3+4(SO4)6(OH)2·20H2O","Cucpi"
"Cuprodongchuanite","Cuprodongchuanite","Pb4CuZn2(PO4)4(OH)2","Cdc"
"Cuproiridsite","Cuproiridsite","Cu(Ir3+Ir4+)S4","Cir"
"Cuprokalininite","Cuprokalininite","Cu(Cr3+Cr4+)S4","Ckal"
"Cupromakopavonite","Cupromakopavonite","Cu8Pb4Ag3Bi19S38","Cmpav"
"Cupromakovickyite","Cupromakovickyite","Cu4AgPb2Bi9S18","Cmak"
"Cupromolybdite","Cupromolybdite","Cu2+3O(Mo6+O4)2","Cmyb"
"Cuproneyite","Cuproneyite","Cu7Pb27Bi25S68","Cney"
"Cupropavonite","Cupropavonite","Cu0.9Ag0.5Pb0.6Bi2.5S5","Cpav"
"Cupropearceite","Cupropearceite","[Cu6As2S7][Ag9CuS4]","Cpea"
"Cupropolybasite","Cupropolybasite","[Cu6Sb2S7][Ag9CuS4]","Cplb"
"Cuprorhodsite","Cuprorhodsite","(Cu1+0.5Fe3+0.5)Rh3+2S4","Crh"
"Cuprorivaite","Cuprorivaite","CaCuSi4O10","Cuv"
"Cuprosklodowskite","Cuprosklodowskite","Cu(UO2)2(SiO3OH)2·6H2O","Cskl"
"Cuprospinel","Cuprospinel","Cu2+Fe3+2O4","Cspl"
"Cuprostibite","Cuprostibite","Cu2(Sb,Tl)","Cusb"
"Cuprotungstite","Cuprotungstite","Cu2+3(WO4)2(OH)2","Ctgs"
"Curetonite","Curetonite","Ba(Al,Ti)(PO4)(OH,O)F","Cut"
"Curienite","Curienite","Pb(UO2)2(VO4)2·5H2O","Cue"
"Curite","Curite","Pb3+x[(UO2)4O4+x(OH)3-x]2·2H2O","Cui"
"Currierite","Currierite","Na4Ca3MgAl4(AsO3OH)12·9H2O","Cur"
"Cuspidine","Cuspidine","Ca8(Si2O7)2F4","Csp"
"Cuyaite","Cuyaite","Ca2Mn3+As3+14O24Cl","Cuy"
"Cuzticite","Cuzticite","Fe3+2Te6+O6·3H2O","Cuz"
"Cyanochroite","Cyanochroite","K2Cu(SO4)2·6H2O","Cyc"
"Cyanotrichite","Cyanotrichite","Cu4Al2(SO4)(OH)12(H2O)2","Cya"
"Cylindrite","Cylindrite","FePb3Sn4Sb2S14","Cy"
"Cymrite","Cymrite","Ba(Si,Al)4(O,OH)8·H2O","Cym"
"Cyprine","Cyprine","Ca19Cu2+(Al,Mg)12Si18O69(OH)9","Cyp"
"Cyrilovite","Cyrilovite","NaFe3+3(PO4)2(OH)4·2H2O","Cyr"
"Czochralskiite","Czochralskiite","Na4Ca3Mg(PO4)4","Cz"
"Dachiardite-Ca","Dachiardite-Ca","Ca2(Si20Al4)O48·13H2O","Dac-Ca"
"Dachiardite-K","Dachiardite-K","K4(Si20Al4)O48·13H2O","Dac-K"
"Dachiardite-Na","Dachiardite-Na","Na4(Si20Al4)O48·13H2O","Dac-Na"
"Dadsonite","Dadsonite","Pb23Sb25S60Cl","Dad"
"Dagenaisite","Dagenaisite","Zn3Te6+O6","Dag"
"Daliranite","Daliranite","PbHgAs2S5","Da"
"Dalnegorskite","Dalnegorskite","Ca5Mn(Si3O9)2","Dng"
"Dalnegroite","Dalnegroite","Tl4Pb2(As,Sb)20S34","Dnr"
"Dalyite","Dalyite","K2ZrSi6O15","Dly"
"Damaraite","Damaraite","Pb3O2(OH)Cl","Dm"
"Damiaoite","Damiaoite","PtIn2","Dam"
"Danalite","Danalite","Be3Fe2+4(SiO4)3S","Dan"
"Danbaite","Danbaite","CuZn2","Dba"
"Danburite","Danburite","CaB2Si2O8","Dbu"
"Danielsite","Danielsite","(Cu,Ag)14HgS8","Dns"
"D'ansite","Dansite","Na21Mg(SO4)10Cl3","D'an"
"D'ansite-(Fe)","Dansite-(Fe)","Na21Fe(SO4)10Cl3","D'an-Fe"
"D'ansite-(Mn)","Dansite-(Mn)","Na21Mn(SO4)10Cl3","D'an-Mn"
"Dantopaite","Dantopaite","Ag5Bi13S22","Dnt"
"Daomanite","Daomanite","CuPtAsS2","Dao"
"Daqingshanite-(Ce)","Daqingshanite-(Ce)","Sr3Ce(PO4)(CO3)3","Daq-Ce"
"Darapiosite","Darapiosite","KNa2Mn2(Li2ZnSi12)O30","Dar"
"Darapskite","Darapskite","Na3(SO4)(NO3)·H2O","Drp"
"Dargaite","Dargaite","BaCa12(SiO4)4(SO4)2O3","Drg"
"Darrellhenryite","Darrellhenryite","Na(Al2Li)Al6(Si6O18)(BO3)3(OH)3O","Dhry"
"Dashkovaite","Dashkovaite","Mg(HCOO)2·2H2O","Dkv"
"Datolite","Datolite","CaB(SiO4)(OH)","Dat"
"Daubréeite","Daubreeite","BiO(OH)","Dau"
"Daubréelite","Daubreelite","FeCr2S4","Dbr"
"Davanite","Davanite","K2TiSi6O15","Dvn"
"Davemaoite","Davemaoite","CaSiO3","Dvm"
"Davidbrownite-(NH<sub>4</sub>)","Davidbrownite-(NH4)","(NH4)5(V4+O)2(C2O4)[PO2.75(OH)1.25]4·3H2O","Dbn-NH4"
"Davidite-(Ce)","Davidite-(Ce)","Ce(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","Dvd-Ce"
"Davidite-(La)","Davidite-(La)","La(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","Dvd-La"
"Davidlloydite","Davidlloydite","Zn3(AsO4)2·4H2O","Dld"
"Davidsmithite","Davidsmithite","(Ca,[box])2Na6Al8Si8O32","Dsm"
"Davinciite","Davinciite","Na12K3Ca6Fe2+3Zr3(Si26O73OH)Cl2","Dvc"
"Davisite","Davisite","CaScAlSiO6","Dav"
"Davreuxite","Davreuxite","Mn2+Al6Si4O17(OH)2","Drx"
"Davyne","Davyne","[(Na,K)6(SO4)0.5Cl][Ca2Cl2][(Si6Al6O24)]","Dvy"
"Dawsonite","Dawsonite","NaAl(CO3)(OH)2","Dws"
"Deanesmithite","Deanesmithite","Hg1+2Hg2+3S2O(CrO4)","Dsh"
"Debattistiite","Debattistiite","Ag9Hg0.5As6S12Te2","Dbt"
"Decagonite","Decagonite","Al71Ni24Fe5","Dec"
"Decrespignyite-(Y)","Decrespignyite-(Y)","Y4Cu(CO3)4Cl(OH)5·2H2O","Dcp-Y"
"Deerite","Deerite","Fe2+6Fe3+3(Si6O17)O3(OH)5","Dee"
"Defernite","Defernite","Ca6(CO3)1.58(Si2O7)0.21(OH)7[Cl0.50(OH)0.08(H2O)0.42]","Def"
"Dekatriasartorite","Dekatriasartorite","TlPb58As97S204","Dsat"
"Delafossite","Delafossite","Cu1+Fe3+O2","Del"
"Delhayelite","Delhayelite","K7Na3Ca5Al2Si14O38F4Cl2","Dhy"
"Delhuyarite-(Ce)","Delhuyarite-(Ce)","Ce4Mg(Fe3+2W)[box](Si2O7)2O6(OH)2","Dhu-Ce"
"Deliensite","Deliensite","Fe2+(UO2)2(SO4)2(OH)2·7H2O","Dli"
"Delindeite","Delindeite","Ba2Ti2(Na2[box])Ti(Si2O7)2(OH)2(H2O)2O2","Dde"
"Dellagiustaite","Dellagiustaite","V2+Al2O4","Dgt"
"Dellaite","Dellaite","Ca6(Si2O7)(SiO4)(OH)2","Dll"
"Deloneite","Deloneite","(Na0.5REE0.25Ca0.25)(Ca0.75REE0.25)Sr1.5(CaNa0.25REE0.25)(PO4)3F0.5(OH)0.5","Dln"
"Deloryite","Deloryite","Cu4(UO2)Mo2O8(OH)6","Dlo"
"Delrioite","Delrioite","Sr(VO3)2·4H2O","Dl"
"Deltalumite","Deltalumite","(Al0.67[box]0.33)Al2O4","Dal"
"Delvauxite","Delvauxite","CaFe3+4(PO4)2(OH)8·4-5H2O","Dvx"
"Demagistrisite","Demagistrisite","BaCa2Mn3+4(Si3O10)(Si2O7)(OH)4·3H2O","Dmg"
"Demartinite","Demartinite","K2SiF6","Dma"
"Demesmaekerite","Demesmaekerite","Pb2Cu5(UO2)2(Se4+O3)6(OH)6·2H2O","Dmm"
"Demicheleite-(Br)","Demicheleite-(Br)","BiSBr","Dem-Br"
"Demicheleite-(Cl)","Demicheleite-(Cl)","BiSCl","Dem-Cl"
"Demicheleite-(I)","Demicheleite-(I)","BiSI","Dem-I"
"Dendoraite-(NH<sub>4</sub>)","Dendoraite-(NH4)","(NH4)2NaAl(C2O4)(PO3OH)2(H2O)2",""
"Denisovite","Denisovite","KCa2Si3O8F","Dnv"
"Denningite","Denningite","CaMn2+Te4+4O10","Dnn"
"Depmeierite","Depmeierite","Na8[Al6Si6O24](PO4,CO3)1-x·3H2O (x< 0.5)","Dep"
"Derbylite","Derbylite","Fe3+4Ti4+3Sb3+O13(OH)","Dby"
"Derriksite","Derriksite","Cu4(UO2)(Se4+O3)2(OH)6","Drk"
"Dervillite","Dervillite","Ag2AsS2","Dvl"
"Desautelsite","Desautelsite","Mg6Mn3+2(CO3)(OH)16·4H2O","Des"
"Descloizite","Descloizite","PbZn(VO4)(OH)","Dcz"
"Despujolsite","Despujolsite","Ca3Mn4+(SO4)2(OH)6·3H2O","Dpj"
"Dessauite-(Y)","Dessauite-(Y)","Sr(Y,U,Mn)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Dss-Y"
"Destinezite","Destinezite","Fe3+2(PO4)(SO4)(OH)·6H2O","Dtz"
"Deveroite-(Ce)","Deveroite-(Ce)","Ce2(C2O4)3·10H2O","Dvr-Ce"
"Devilliersite","Devilliersite","Ca4Ca2Fe3+10O4[(Fe3+10Si2)O36]","Dvi"
"Devilline","Devilline","CaCu4(SO4)2(OH)6·3H2O","Dev"
"Devitoite","Devitoite","Ba6Fe2+7Fe3+2(Si4O12)2(PO4)2(CO3)O2(OH)4","Dvt"
"Dewindtite","Dewindtite","H2Pb3(UO2)6O4(PO4)4·12H2O","Dew"
"Dewitite","Dewitite","AgzTl10-x-zPb2xSb42-x-yAsyS68 (0.09 ≤ x ≤ 2.13, 13.99 ≤ y ≤ 19.79, 0.10 ≤ z ≤ 0.50)","Dwt"
"Diaboleite","Diaboleite","CuPb2Cl2(OH)4","Dbol"
"Diadochite","Diadochite","Fe3+2(PO4)(SO4)(OH)·6H2O","Ddc"
"Diamond","Diamond","C","Dia"
"Diaoyudaoite","Diaoyudaoite","NaAl11O17","Dyd"
"Diaphorite","Diaphorite","Ag3Pb2Sb3S8","Dpr"
"Diaspore","Diaspore","AlO(OH)","Dsp"
"Dickinsonite-(KMnNa)","Dickinsonite-(KMnNa)","K(NaMn)CaNa3AlMn13(PO4)12(OH)2","Dcn-KMnNa"
"Dickite","Dickite","Al2Si2O5(OH)4","Dck"
"Dickthomssenite","Dickthomssenite","MgV2O6·7H2O","Dth"
"Diegogattaite","Diegogattaite","Na2CaCu2Si8O20·H2O","Dga"
"Dienerite","Dienerite","Ni3As","Dne"
"Dietrichite","Dietrichite","ZnAl2(SO4)4·22H2O","Dtr"
"Dietzeite","Dietzeite","Ca2(IO3)2(CrO4)·H2O","Die"
"Digenite","Digenite","Cu1.8S","Dg"
"Dimorphite","Dimorphite","As4S3","Dim"
"Dingdaohengite-(Ce)","Dingdaohengite-(Ce)","(Ce,La)4Fe2+(Ti,Fe2+,Mg,Fe3+)2Ti2Si4O22","Ddh-Ce"
"Dinite","Dinite","C20H36","Din"
"Diopside","Diopside","CaMgSi2O6","Di"
"Dioptase","Dioptase","CuSiO3·H2O","Dpt"
"Dioskouriite","Dioskouriite","CaCu4Cl6(OH)4·4H2O","Dio"
"Direnzoite","Direnzoite","NaK6MgCa2(Al13Si47)O120·36H2O","Drz"
"Dissakisite-(Ce)","Dissakisite-(Ce)","CaCe(Al2Mg)[Si2O7][SiO4]O(OH)","Dis-Ce"
"Dissakisite-(La)","Dissakisite-(La)","CaLa(Al2Mg)[Si2O7][SiO4]O(OH)","Dis-La"
"Disulfodadsonite","Disulfodadsonite","Pb11Sb13S30(S2)0.5","Ddad"
"Dittmarite","Dittmarite","(NH4)Mg(PO4)·H2O","Dmr"
"Diversilite-(Ce)","Diversilite-(Ce)","Na2Ba6Ce2Fe2+Ti3Si12O36(OH)10·nH2O","Dvs-Ce"
"Dixenite","Dixenite","Cu1+Fe3+Mn2+14(As5+O4)(As3+O3)5(SiO4)2(OH)6","Dxn"
"Djerfisherite","Djerfisherite","K6(Fe,Cu,Ni)25S26Cl","Djr"
"Djurleite","Djurleite","Cu31S16","Dju"
"Dmisokolovite","Dmisokolovite","K3Cu5AlO2(AsO4)4","Dsk"
"Dmisteinbergite","Dmisteinbergite","Ca(Al2Si2O8)","Dsb"
"Dmitryivanovite","Dmitryivanovite","CaAl2O4","Div"
"Dobrovolskyite","Dobrovolskyite","Na4Ca(SO4)3","Dvo"
"Dobšináite","Dobsinaite","Ca2Ca(AsO4)2·2H2O","Dob"
"Dokuchaevite","Dokuchaevite","Cu8O2(VO4)3Cl3","Dok"
"Dolerophanite","Dolerophanite","Cu2O(SO4)","Dph"
"Dollaseite-(Ce)","Dollaseite-(Ce)","CaCe(Mg2Al)[Si2O7][SiO4]F(OH)","Dls-Ce"
"Dolomite","Dolomite","CaMg(CO3)2","Dol"
"Doloresite","Doloresite","V4+3O4(OH)4","Dlr"
"Domerockite","Domerockite","Cu4(AsO4)(AsO3OH)(OH)3·H2O","Dom"
"Domeykite","Domeykite","Cu3As","Do"
"Domeykite-β","Domeykite-beta","Cu3As","Do-β"
"Donbassite","Donbassite","Al2(Si3Al)O10(OH)2·Al2.33(OH)6","Dbs"
"Dondoellite","Dondoellite","Ca2Fe(PO4)2·2H2O","Ddl"
"Dongchuanite","Dongchuanite","Pb4ZnZn2(PO4)4(OH)2","Dc"
"Donharrisite","Donharrisite","Ni3HgS3","Dhr"
"Donnayite-(Y)","Donnayite-(Y)","NaSr3CaY(CO3)6·3H2O","Dna-Y"
"Donowensite","Donowensite","Ca(H2O)3Fe3+2(V2O7)2","Dnw"
"Donpeacorite","Donpeacorite","(Mn,Mg)MgSi2O6","Don"
"Donwilhelmsite","Donwilhelmsite","CaAl4Si2O11","Dwh"
"Dorallcharite","Dorallcharite","TlFe3+3(SO4)2(OH)6","Drc"
"Dorfmanite","Dorfmanite","Na2(PO3OH)·2H2O","Dfm"
"Dorrite","Dorrite","Ca4[Mg3Fe3+9]O4[Si3Al8Fe3+O36]","Dor"
"Douglasite","Douglasite","K2Fe2+Cl4·2H2O","Dgl"
"Dovyrenite","Dovyrenite","Ca6Zr(Si2O7)2(OH)4","Dov"
"Downeyite","Downeyite","SeO2","Dny"
"Doyleite","Doyleite","Al(OH)3","Doy"
"Dozyite","Dozyite","Mg7Al2(Si4Al2)O15(OH)12","Doz"
"Dravertite","Dravertite","CuMg(SO4)2","Dra"
"Dravite","Dravite","NaMg3Al6(Si6O18)(BO3)3(OH)3(OH)","Drv"
"Drechslerite","Drechslerite","Tl4(Sb4-xAsx)S8 (1 < x < 2)","Dre"
"Dresserite","Dresserite","Ba2Al4(CO3)4(OH)8·3H2O","Dsr"
"Dreyerite","Dreyerite","Bi(VO4)","Dye"
"Dritsite","Dritsite","Li2Al4(OH)12Cl2·3H2O","Drt"
"Drobecite","Drobecite","Cd(SO4)·4H2O","Dro"
"Droninoite","Droninoite","Ni6Fe3+2Cl2(OH)16·4H2O","Dr"
"Drugmanite","Drugmanite","Pb2Fe3+(PO4)(PO3OH)(OH)2","Dru"
"Drysdallite","Drysdallite","MoSe2","Dry"
"Dualite","Dualite","Na30(Ca,Na,Ce,Sr)12(Na,Mn,Fe,Ti)6Zr3Ti3MnSi51O144(OH,H2O,Cl)9","Dua"
"Dufrénite","Dufrenite","Ca0.5Fe2+Fe3+5(PO4)4(OH)6·2H2O","Dfr"
"Dufrénoysite","Dufrenoysite","Pb2As2S5","Duf"
"Duftite","Duftite","PbCu(AsO4)(OH)","Dft"
"Dugganite","Dugganite","Pb3Zn3(TeO6)(AsO4)2","Dug"
"Dukeite","Dukeite","Bi3+24Cr6+8O57(OH)6·3H2O","Duk"
"Dumontite","Dumontite","Pb2(UO2)3O2(PO4)2·5H2O","Dmt"
"Dumortierite","Dumortierite","AlAl6BSi3O18","Dum"
"Dundasite","Dundasite","PbAl2(CO3)2(OH)4·H2O","Dun"
"Durangite","Durangite","NaAl(AsO4)F","Dur"
"Duranusite","Duranusite","As4S","Du"
"Dusmatovite","Dusmatovite","KK2Mn2(Zn2LiSi12)O30","Dus"
"Dussertite","Dussertite","BaFe3+3(AsO4)(AsO3OH)(OH)6","Dst"
"Dutkevichite-(Ce)","Dutkevichite-(Ce)","NaZnBa2Ce2Ti2Si8O26F·H2O","Dut-Ce"
"Dutrowite","Dutrowite","Na(Fe2+2.5Ti0.5)Al6(Si6O18)(BO3)3(OH)3O","Dtw"
"Duttonite","Duttonite","V4+O(OH)2","Dtn"
"Dwornikite","Dwornikite","Ni(SO4)·H2O","Dwo"
"Dymkovite","Dymkovite","Ni(UO2)2(As3+O3)2·7H2O","Dym"
"Dypingite","Dypingite","Mg5(CO3)4(OH)2·5H2O","Dyp"
"Dyrnaesite-(La)","Dyrnaesite-(La)","Na8Ce4+(La,REE)2(PO4)6","Dyr-La"
"Dyscrasite","Dyscrasite","Ag3+xSb1-x (x ≈ 0.2)","Dys"
"Dzhalindite","Dzhalindite","In(OH)3","Dz"
"Dzharkenite","Dzharkenite","FeSe2","Dzh"
"Dzhuluite","Dzhuluite","Ca3(SbSn)(Fe3+O4)3","Dzl"
"Dzierżanowskite","Dzierzanowskite","CaCu2S2","Dża"
"Eakerite","Eakerite","Ca2Sn4+Al2Si6O18(OH)2·2H2O","Ea"
"Earlandite","Earlandite","Ca3(C6H5O7)2·4H2O","Ear"
"Earlshannonite","Earlshannonite","Mn2+Fe3+2(PO4)2(OH)2·4H2O","Esn"
"Eastonite","Eastonite","KAlMg2(Si2Al2)O10(OH)2","Eas"
"Ecandrewsite","Ecandrewsite","ZnTiO3","Ec"
"Ecdemite","Ecdemite","Pb6As3+2O7Cl4","Ecd"
"Eckerite","Eckerite","Ag2CuAsS3","Ekr"
"Eckermannite","Eckermannite","NaNa2(Mg4Al)Si8O22(OH)2","Eck"
"Eckhardite","Eckhardite","(Ca,Pb)Cu2+Te6+O5(H2O)","Ehd"
"Eclarite","Eclarite","(Cu,Fe)Pb9Bi12S28","Ecl"
"Écrinsite","Ecrinsite","AgTl3Pb4As11Sb9S36","Écr"
"Eddavidite","Eddavidite","Cu12Pb2O15Br2","Edv"
"Edenharterite","Edenharterite","TlPbAs3S6","Eht"
"Edenite","Edenite","NaCa2Mg5(Si7Al)O22(OH)2","Ed"
"Edgarbaileyite","Edgarbaileyite","Hg1+6Si2O7","Ebl"
"Edgarite","Edgarite","FeNb3S6","Edg"
"Edgrewite","Edgrewite","Ca9(SiO4)4F2","Egr"
"Edingtonite","Edingtonite","Ba(Si3Al2)O10·4H2O","Edi"
"Edoylerite","Edoylerite","Hg2+3(Cr6+O4)S2","Eoy"
"Edscottite","Edscottite","Fe5C2","Est"
"Edtollite","Edtollite","K2NaCu5Fe3+O2(AsO4)4","Edt"
"Edwardsite","Edwardsite","Cu3Cd2(SO4)2(OH)6·4H2O","Edw"
"Effenbergerite","Effenbergerite","BaCuSi4O10","Efb"
"Efremovite","Efremovite","(NH4)2Mg2(SO4)3","Efr"
"Eggletonite","Eggletonite","(Na,K,Ca)xMn6(Si,Al)10O24(OH)4·nH2O (x = 1-2; n = 7-11)","Egg"
"Eglestonite","Eglestonite","([Hg1+]2)3OCl3(OH)","Egl"
"Ehrleite","Ehrleite","Ca2ZnBe(PO4)2(PO3OH)·4H2O","Ehr"
"Eifelite","Eifelite","KNa2(MgNa)(Mg3Si12)O30","Eif"
"Eirikite","Eirikite","KNa6Be2(Si15Al3)O39F2","Eir"
"Eitelite","Eitelite","Na2Mg(CO3)2","Eit"
"Ekanite","Ekanite","Ca2ThSi8O20","Ek"
"Ekaterinite","Ekaterinite","Ca2B4O7Cl2·2H2O","Eka"
"Ekatite","Ekatite","(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6","Ekt"
"Ekebergite","Ekebergite","ThFeNb2O8","Ekb"
"Ekplexite","Ekplexite","(Nb,Mo)S2·(Mg1-xAlx)(OH)2+x","Ekp"
"Elasmochloite","Elasmochloite","Na3Cu6BiO4(SO4)5","Ela"
"Elbaite","Elbaite","Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH)","Elb"
"Elbrusite","Elbrusite","Ca3(U6+0.5Zr1.5)(Fe3+O4)3","Ebs"
"Eldfellite","Eldfellite","NaFe3+(SO4)2","Edf"
"Eldragónite","Eldragonite","Cu6BiSe4(Se2)","Eld"
"Eleomelanite","Eleomelanite","(K2Pb)Cu4O2(SO4)4","Elm"
"Elgoresyite","Elgoresyite","(Mg5Si2)O9","Ego"
"Eliopoulosite","Eliopoulosite","V7S8","Epo"
"Eliseevite","Eliseevite","Na1.5Li{Ti2O2[Si4O10.5(OH)1.5]}·2H2O","Esv"
"Ellenbergerite","Ellenbergerite","Mg6(Mg,Ti,Zr,[box])2(Al,Mg)6Si8O28(OH)10","Ell"
"Ellinaite","Ellinaite","CaCr2O4","El"
"Ellingsenite","Ellingsenite","Na5Ca6Si18O38(OH)13·6H2O","Elg"
"Ellisite","Ellisite","Tl3AsS3","Els"
"Elpasolite","Elpasolite","K2NaAlF6","Elp"
"Elpidite","Elpidite","Na2ZrSi6O15·3H2O","Epd"
"Eltyubyuite","Eltyubyuite","Ca12Fe3+10Si4O32Cl6","Elt"
"Elyite","Elyite","CuPb4(SO4)O2(OH)4·H2O","Ely"
"Embreyite","Embreyite","Pb5(CrO4)2(PO4)2·H2O","Emb"
"Emeleusite","Emeleusite","Na2LiFe3+Si6O15","Eme"
"Emilite","Emilite","Cu10.7Pb10.7Bi21.3S48","Emi"
"Emmerichite","Emmerichite","Ba2Ti2Na3Fe3+(Si2O7)2O2F2","Emr"
"Emmonsite","Emmonsite","Fe3+2(Te4+O3)3·2H2O","Ems"
"Emplectite","Emplectite","CuBiS2","Emp"
"Empressite","Empressite","AgTe","Eps"
"Enargite","Enargite","Cu3AsS4","Eng"
"Engelhauptite","Engelhauptite","KCu3(V2O7)(OH)2Cl","Egh"
"Englishite","Englishite","K3Na2Ca10Al15(OH)7(PO4)21·26H2O","Egs"
"Enneasartorite","Enneasartorite","Tl6Pb32As70S140","Esat"
"Enstatite","Enstatite","Mg2Si2O6","En"
"Eosphorite","Eosphorite","Mn2+Al(PO4)(OH)2·H2O","Eos"
"Ephesite","Ephesite","NaLiAl2(Si2Al2)O10(OH)2","Eph"
"Epididymite","Epididymite","Na2Be2Si6O15·H2O","Edd"
"Epidote","Epidote","Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH)","Ep"
"Epidote-(Sr)","Epidote-(Sr)","CaSr(Al2Fe3+)[Si2O7][SiO4]O(OH)","Ep-Sr"
"Epifanovite","Epifanovite","NaCaCu5(PO4)4[AsO2(OH)2]·7H2O","Efv"
"Epistilbite","Epistilbite","Ca3[Si18Al6O48]·16H2O","Estb"
"Epistolite","Epistolite","(Na[box])Nb2Na3Ti(Si2O7)2O2(OH)2(H2O)4","Epi"
"Epsomite","Epsomite","Mg(SO4)·7H2O","Esm"
"Erazoite","Erazoite","Cu4SnS6","Erz"
"Ercitite","Ercitite","NaMn3+(PO4)(OH)·2H2O","Erc"
"Erdite","Erdite","NaFeS2·2H2O","Erd"
"Ericaite","Ericaite","Fe2+3B7O13Cl","Eic"
"Ericlaxmanite","Ericlaxmanite","Cu4O(AsO4)2","Elx"
"Ericssonite","Ericssonite","BaMn2+2Fe3+(Si2O7)O(OH)","Ers"
"Erikapohlite","Erikapohlite","([box]0.5Cu0.5)CuCaZn2(AsO4)3·H2O","Erk"
"Erikjonssonite","Erikjonssonite","(Pb32O21)[(V,Si,Mo,As)O4]4Cl9","Ejs"
"Eringaite","Eringaite","Ca3Sc2(SiO4)3","Erg"
"Eriochalcite","Eriochalcite","CuCl2·2H2O","Ech"
"Erionite-Ca","Erionite-Ca","Ca5[Si26Al10O72]·30H2O","Eri-Ca"
"Erionite-K","Erionite-K","K10[Si26Al10O72]·30H2O","Eri-K"
"Erionite-Na","Erionite-Na","Na10[Si26Al10O72]·30H2O","Eri-Na"
"Erlianite","Erlianite","Fe2+4Fe3+2Si6O15(OH)8","Ern"
"Erlichmanite","Erlichmanite","OsS2","Erl"
"Ermakovite","Ermakovite","(NH4)(As2O3)2Br","Ekv"
"Ernienickelite","Ernienickelite","NiMn4+3O7·3H2O","Enk"
"Erniggliite","Erniggliite","Tl2SnAs2S6","Eni"
"Ernstburkeite","Ernstburkeite","Mg(CH3SO3)2·12H2O","Ebu"
"Ernstite","Ernstite","(Mn2+,Fe3+)Al(PO4)(OH,O)2","Ens"
"Ershovite","Ershovite","K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4·4H2O","Esh"
"Erssonite","Erssonite","CaMg7Fe3+2(OH)18(SO4)2·12H2O",""
"Ertixiite","Ertixiite","Na2Si4O9","Ert"
"Erythrite","Erythrite","Co3(AsO4)2·8H2O","Ery"
"Erythrosiderite","Erythrosiderite","K2Fe3+Cl5·H2O","Esd"
"Erzwiesite","Erzwiesite","Ag8Pb12Bi16S40","Ezw"
"Escheite","Escheite","Ca2NaMnTi5[Si12O34]O2(OH)3·12H2O","Esc"
"Esdanaite-(Ce)","Esdanaite-(Ce)","NaMnCe(PO4)2·4H2O","Edn-Ce"
"Eskebornite","Eskebornite","CuFeSe2","Ebn"
"Eskimoite","Eskimoite","Ag7Pb10Bi15S36","Ekm"
"Eskolaite","Eskolaite","Cr2O3","Esk"
"Espadaite","Espadaite","Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10(H2O)6·H2O","Esp"
"Esperanzaite","Esperanzaite","NaCa2Al2(AsO4)2F4(OH)·2H2O","Epz"
"Esperite","Esperite","PbCa2(ZnSiO4)3","Epr"
"Esquireite","Esquireite","BaSi6O13·7H2O","Esq"
"Esseneite","Esseneite","CaFe3+AlSiO6","Ess"
"Ettringite","Ettringite","Ca6Al2(SO4)3(OH)12·27H2O","Ett"
"Eucairite","Eucairite","CuAgSe","Eca"
"Euchlorine","Euchlorine","KNaCu3O(SO4)3","Ecr"
"Euchroite","Euchroite","Cu2(AsO4)(OH)·3H2O","Euc"
"Euclase","Euclase","BeAlSiO4(OH)","Ecs"
"Eucryptite","Eucryptite","LiAlSiO4","Ecp"
"Eudialyte","Eudialyte","Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2","Eud"
"Eudidymite","Eudidymite","Na2Be2Si6O15·H2O","Edy"
"Eugenite","Eugenite","Ag11Hg2","Eug"
"Eugsterite","Eugsterite","Na4Ca(SO4)3·2H2O","Egt"
"Eulytine","Eulytine","Bi4(SiO4)3","Eul"
